ATCOCode,Easting,Northing,Lon,Lat,CommonName,Identifier,Direction,Street,Landmark,NatGazID,NatGazLocality,StopType,"Stop type, name",Icon colour
1290BOB20541,406805,90894,-1.90498,50.71762,Warren Road,,NW,Alumhurst Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20542,406835,90768,-1.90456,50.71649,Herbert Road,,S,Alumhurst Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20544,406871,90602,-1.90405,50.715,Alumdale Road,,S,Alumhurst Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20545,406964,90404,-1.90274,50.71321,Beaulieu Road,,SE,Alumhurst Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20546,407105,90223,-1.90074,50.71159,Crosby Road,,SE,Alumhurst Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20547,407178,90147,-1.89971,50.7109,Sandbourne Road,,E,Alumhurst Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20548,407286,90160,-1.89818,50.71102,Studland Road,,E,Alumhurst Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20549,407362,90292,-1.8971,50.7122,Alum Chine,,SE,Alumhurst Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20550,407267,90140,-1.89845,50.71084,Studland Road,,W,Alumhurst Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20551,407187,90131,-1.89958,50.71076,Sandbourne Road,,W,Alumhurst Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20552,407100,90212,-1.90081,50.71149,Crosby Road,,NW,Alumhurst Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20553,406946,90405,-1.90299,50.71322,Beaulieu Road,,NW,Alumhurst Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20554,406865,90575,-1.90413,50.71475,Alumdale Road,,N,Alumhurst Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20555,406832,90687,-1.9046,50.71576,Herbert Road,,N,Alumhurst Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20556,406780,90956,-1.90533,50.71818,Warren Road,,N,Alumhurst Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20557,407112,90893,-1.90063,50.71761,St Ambrose Church,,S,West Overcliff Drive,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20558,407163,90596,-1.89991,50.71494,Suspension Bridge,,SE,West Overcliffe Drive,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20559,407206,90593,-1.8993,50.71491,Suspension Bridge,,W,West Overcliff Drive,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20560,407452,90328,-1.89583,50.71253,Bowling Green,,W,West Overcliffe Drive,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20561,407500,90364,-1.89514,50.71285,Bowling Green,,W,West Overcliffe Drive,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20562,407523,90447,-1.89482,50.71359,Milner Road,,NW,West Overcliff Drive,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20563,407517,90478,-1.8949,50.71387,Milner Road,,S,West Overcliff Drive,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20564,407637,90472,-1.8932,50.71382,Cherry Tree Walk,,SE,West Overcliff Drive,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20565,407676,90416,-1.89265,50.71331,Cherry Tree Walk,,NW,West Overcliff Drive,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20566,407786,90658,-1.89109,50.71549,Durley Chine Court,Opp,NE,West Overcliff Drive,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20567,407811,90673,-1.89073,50.71562,Durley Chine Court,,SW,West Overcliff Drive,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20568,407685,90700,-1.89252,50.71587,Chine Crescent Road,,W,West Cliff Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
